아침에 정구지,아지매 정구지
아침에요 정구지,아지매요 정구
라고 않거든,라 안 카드나
가만히,가마이
하던가,하든
거기,거
여기,여
저기,저
<영화 바람 텍스트>,
많이 먹어라,마이 무으라
씻어라,씻으라
첫날 이제,첫날이제
알지,알제
나는 한 거 같은 학교,나는 형과 같은 학교
중학교를 달렸다,중학교를 다녔다
애플 알 친구 필리핀에 ,내 불알 친구 필립이
집사람이 얘기하지,뒷사람이랑 얘기하지 
학교 가장 나이가,학교가 장난이가
복학 이제,복학이제
알았다 좋겠네,알았다 아 죽겠네
